experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
resource_limsupavg_max_emptiness,1,1,samples/generated_resource_consumption_2/resource_n1_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,0.000156995,1
resource_limsupavg_max_emptiness,1,2,samples/generated_resource_consumption_2/resource_n1_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,OK,0.000319435,1
resource_limsupavg_max_emptiness,1,3,samples/generated_resource_consumption_2/resource_n1_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,OK,0.000973275,1
resource_limsupavg_max_emptiness,1,4,samples/generated_resource_consumption_2/resource_n1_k4.txt,emptiness,LimSupAvg,Max,4.0,3,300.0,1,OK,0.003549139,1
resource_limsupavg_max_emptiness,2,1,samples/generated_resource_consumption_2/resource_n2_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,0.002726087,1
resource_limsupavg_max_emptiness,2,2,samples/generated_resource_consumption_2/resource_n2_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,OK,0.028222337,1
resource_limsupavg_max_emptiness,2,3,samples/generated_resource_consumption_2/resource_n2_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,OK,1.054236708,1
resource_limsupavg_max_emptiness,2,4,samples/generated_resource_consumption_2/resource_n2_k4.txt,emptiness,LimSupAvg,Max,4.0,3,300.0,1,OK,62.350442812,1
resource_limsupavg_max_emptiness,3,1,samples/generated_resource_consumption_2/resource_n3_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,0.122868076,1
resource_limsupavg_max_emptiness,3,2,samples/generated_resource_consumption_2/resource_n3_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,OK,47.532383001,1
resource_limsupavg_max_emptiness,3,3,samples/generated_resource_consumption_2/resource_n3_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,OOT,,
resource_limsupavg_max_emptiness,3,4,samples/generated_resource_consumption_2/resource_n3_k4.txt,emptiness,LimSupAvg,Max,4.0,3,300.0,1,OOT,,
resource_limsupavg_max_emptiness,4,1,samples/generated_resource_consumption_2/resource_n4_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,20.435561025,1
resource_limsupavg_max_emptiness,4,2,samples/generated_resource_consumption_2/resource_n4_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,OOT,,
resource_limsupavg_max_emptiness,4,3,samples/generated_resource_consumption_2/resource_n4_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,OOT,,
resource_limsupavg_max_emptiness,4,4,samples/generated_resource_consumption_2/resource_n4_k4.txt,emptiness,LimSupAvg,Max,4.0,3,300.0,1,OOM,,
