experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
resource_sup_max_emptiness,1,1,samples/generated_resource_consumption_1/resource_n1_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.000240091,1
resource_sup_max_emptiness,1,2,samples/generated_resource_consumption_1/resource_n1_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,0.000381522,1
resource_sup_max_emptiness,1,3,samples/generated_resource_consumption_1/resource_n1_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,0.000587293,1
resource_sup_max_emptiness,1,4,samples/generated_resource_consumption_1/resource_n1_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OK,0.001126601,1
resource_sup_max_emptiness,1,5,samples/generated_resource_consumption_1/resource_n1_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OK,0.001853352,1
resource_sup_max_emptiness,1,6,samples/generated_resource_consumption_1/resource_n1_k6.txt,emptiness,Sup,Max,6.0,3,300.0,1,OK,0.003247448,1
resource_sup_max_emptiness,2,1,samples/generated_resource_consumption_1/resource_n2_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.001612789,1
resource_sup_max_emptiness,2,2,samples/generated_resource_consumption_1/resource_n2_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,0.004279171,1
resource_sup_max_emptiness,2,3,samples/generated_resource_consumption_1/resource_n2_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,0.014351399,1
resource_sup_max_emptiness,2,4,samples/generated_resource_consumption_1/resource_n2_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OK,0.064584093,1
resource_sup_max_emptiness,2,5,samples/generated_resource_consumption_1/resource_n2_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OK,0.371571773,1
resource_sup_max_emptiness,2,6,samples/generated_resource_consumption_1/resource_n2_k6.txt,emptiness,Sup,Max,6.0,3,300.0,1,OK,1.947199712,1
resource_sup_max_emptiness,3,1,samples/generated_resource_consumption_1/resource_n3_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.012796865,1
resource_sup_max_emptiness,3,2,samples/generated_resource_consumption_1/resource_n3_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,0.097959769,1
resource_sup_max_emptiness,3,3,samples/generated_resource_consumption_1/resource_n3_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,1.105837154,1
resource_sup_max_emptiness,3,4,samples/generated_resource_consumption_1/resource_n3_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OK,10.528976201,1
resource_sup_max_emptiness,3,5,samples/generated_resource_consumption_1/resource_n3_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OK,102.752659992,1
resource_sup_max_emptiness,3,6,samples/generated_resource_consumption_1/resource_n3_k6.txt,emptiness,Sup,Max,6.0,3,300.0,1,OOM,,
resource_sup_max_emptiness,4,1,samples/generated_resource_consumption_1/resource_n4_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.120137657,1
resource_sup_max_emptiness,4,2,samples/generated_resource_consumption_1/resource_n4_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,2.443205453,1
resource_sup_max_emptiness,4,3,samples/generated_resource_consumption_1/resource_n4_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,42.826958126,1
resource_sup_max_emptiness,4,4,samples/generated_resource_consumption_1/resource_n4_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OOM,,
resource_sup_max_emptiness,4,5,samples/generated_resource_consumption_1/resource_n4_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OOM,,
resource_sup_max_emptiness,4,6,samples/generated_resource_consumption_1/resource_n4_k6.txt,emptiness,Sup,Max,6.0,3,300.0,1,OOM,,
resource_sup_max_emptiness,5,1,samples/generated_resource_consumption_1/resource_n5_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,1.300427028,1
resource_sup_max_emptiness,5,2,samples/generated_resource_consumption_1/resource_n5_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,38.436798549,1
resource_sup_max_emptiness,5,3,samples/generated_resource_consumption_1/resource_n5_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OOM,,
resource_sup_max_emptiness,5,4,samples/generated_resource_consumption_1/resource_n5_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OOM,,
resource_sup_max_emptiness,5,5,samples/generated_resource_consumption_1/resource_n5_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OOM,,
