experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
response_sup_sumb_universality,2,2,samples/generated_response_time_3/response_n2_k2.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.001129906,1
response_sup_sumb_universality,2,3,samples/generated_response_time_3/response_n2_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.004256168,1
response_sup_sumb_universality,2,4,samples/generated_response_time_3/response_n2_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.013291175,1
response_sup_sumb_universality,2,5,samples/generated_response_time_3/response_n2_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.044512573,1
response_sup_sumb_universality,2,6,samples/generated_response_time_3/response_n2_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.141370071,1
response_sup_sumb_universality,2,7,samples/generated_response_time_3/response_n2_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.423008737,1
response_sup_sumb_universality,2,8,samples/generated_response_time_3/response_n2_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,1.236200492,1
response_sup_sumb_universality,2,9,samples/generated_response_time_3/response_n2_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,3.608277409,1
response_sup_sumb_universality,3,3,samples/generated_response_time_3/response_n3_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.004634045,1
response_sup_sumb_universality,3,4,samples/generated_response_time_3/response_n3_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.017302591,1
response_sup_sumb_universality,3,5,samples/generated_response_time_3/response_n3_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.081196980,1
response_sup_sumb_universality,3,6,samples/generated_response_time_3/response_n3_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.401909133,1
response_sup_sumb_universality,3,7,samples/generated_response_time_3/response_n3_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,2.283388573,1
response_sup_sumb_universality,3,8,samples/generated_response_time_3/response_n3_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,11.982835446,1
response_sup_sumb_universality,3,9,samples/generated_response_time_3/response_n3_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,43.549979781,1
response_sup_sumb_universality,4,4,samples/generated_response_time_3/response_n4_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.018314620,1
response_sup_sumb_universality,4,5,samples/generated_response_time_3/response_n4_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.118769165,1
response_sup_sumb_universality,4,6,samples/generated_response_time_3/response_n4_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,1.060467700,1
response_sup_sumb_universality,4,7,samples/generated_response_time_3/response_n4_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,12.073925120,1
response_sup_sumb_universality,4,8,samples/generated_response_time_3/response_n4_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,159.318779229,1
response_sup_sumb_universality,4,9,samples/generated_response_time_3/response_n4_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOT,,
response_sup_sumb_universality,5,5,samples/generated_response_time_3/response_n5_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.135771493,1
response_sup_sumb_universality,5,6,samples/generated_response_time_3/response_n5_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,2.032154583,1
response_sup_sumb_universality,5,7,samples/generated_response_time_3/response_n5_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,50.637929326,1
response_sup_sumb_universality,5,8,samples/generated_response_time_3/response_n5_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOT,,
response_sup_sumb_universality,5,9,samples/generated_response_time_3/response_n5_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,TIMEOUT,,
response_sup_sumb_universality,6,6,samples/generated_response_time_3/response_n6_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,2.350811614,1
response_sup_sumb_universality,6,7,samples/generated_response_time_3/response_n6_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,136.434993065,1
response_sup_sumb_universality,6,8,samples/generated_response_time_3/response_n6_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOT,,
response_sup_sumb_universality,6,9,samples/generated_response_time_3/response_n6_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOM,,
response_sup_sumb_universality,7,7,samples/generated_response_time_3/response_n7_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,176.782366758,1
response_sup_sumb_universality,7,8,samples/generated_response_time_3/response_n7_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOT,,
response_sup_sumb_universality,7,9,samples/generated_response_time_3/response_n7_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOM,,
response_sup_sumb_universality,8,8,samples/generated_response_time_3/response_n8_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOT,,
response_sup_sumb_universality,8,9,samples/generated_response_time_3/response_n8_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOM,,
response_sup_sumb_universality,9,9,samples/generated_response_time_3/response_n9_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OOM,,
