benchmark,n,k,impl,mean_time_s,max_rss_kb,status
response_time,2,2,vector,0.000850806,4332,OK
response_time,3,3,vector,0.001680122,4388,OK
response_time,4,4,vector,0.004500771,4392,OK
response_time,5,5,vector,0.015242279,5504,OK
response_time,6,6,vector,0.128974593,17132,OK
response_time,7,7,vector,1.328045170,104640,OK
response_time,8,8,vector,16.496571530,882324,OK
response_time,4,8,vector,0.945176236,87776,OK
response_time,6,8,vector,9.448249089,546060,OK
resource_consumption,1,1,vector,0.000705233,4380,OK
resource_consumption,1,2,vector,0.001369918,4396,OK
resource_consumption,1,3,vector,0.003265798,4260,OK
resource_consumption,2,1,vector,0.006303374,4396,OK
resource_consumption,2,2,vector,0.104701047,11656,OK
resource_consumption,2,3,vector,2.590640002,102112,OK
resource_consumption,3,1,vector,0.310430843,24984,OK
resource_consumption,3,2,vector,94.780512009,810456,OK
resource_consumption,3,3,vector,0,1980644,TIMEOUT
resource_consumption,3,4,vector,0,6127728,TIMEOUT
